YEAR,YEAR_TYPE,SMRY_CTGRY,SRVC_CTGRY,PRVDR_ID,PRVDR_NAME,PRVDR_CITY,STATE,PRVDR_ZIP,BENE_DSTNCT_CNT,TOT_EPSD_STAY_CNT,TOT_SRVC_DAYS,TOT_CHRG_AMT,TOT_ALOWD_AMT,TOT_MDCR_PYMT_AMT,TOT_MDCR_STDZD_PYMT_AMT,BENE_DUAL_PCT,BENE_RRL_PCT,BENE_AVG_AGE,BENE_MALE_PCT,BENE_FEML_PCT,BENE_RACE_WHT_PCT,BENE_RACE_BLACK_PCT,BENE_RACE_API_PCT,BENE_RACE_HSPNC_PCT,BENE_RACE_NATIND_PCT,BENE_RACE_UNK_PCT,BENE_RACE_OTHR_PCT,BENE_AVG_RISK_SCRE,BENE_CC_BH_ADHD_OTHCD_V1_PCT,BENE_CC_BH_ALCOHOL_DRUG_V1_PCT,BENE_CC_BH_ALZ_NONALZDEM_V2_PCT,BENE_CC_BH_ANXIETY_V1_PCT,BENE_CC_BH_BIPOLAR_V1_PCT,BENE_CC_BH_DEPRESS_V1_PCT,BENE_CC_BH_MOOD_V2_PCT,BENE_CC_BH_PD_V1_PCT,BENE_CC_BH_PTSD_V1_PCT,BENE_CC_BH_SCHIZO_OTHPSY_V1_PCT,BENE_CC_BH_TOBACCO_V1_PCT,BENE_CC_PH_AFIB_V2_PCT,BENE_CC_PH_ARTHRITIS_V2_PCT,BENE_CC_PH_ASTHMA_V2_PCT,BENE_CC_PH_CANCER6_V2_PCT,BENE_CC_PH_CKD_V2_PCT,BENE_CC_PH_COPD_V2_PCT,BENE_CC_PH_DIABETES_V2_PCT,BENE_CC_PH_HF_NONIHD_V2_PCT,BENE_CC_PH_HYPERLIPIDEMIA_V2_PCT,BENE_CC_PH_HYPERTENSION_V2_PCT,BENE_CC_PH_ISCHEMICHEART_V2_PCT,BENE_CC_PH_OSTEOPOROSIS_V2_PCT,BENE_CC_PH_PARKINSON_V2_PCT,BENE_CC_PH_STROKE_TIA_V2_PCT,PRMRY_DX_INFCTN_PCT,PRMRY_DX_NEOBLD_PCT,PRMRY_DX_ENDONUTRMET_PCT,PRMRY_DX_MNTBEHNEUDIS_PCT,PRMRY_DX_NERVSYSTM_PCT,PRMRY_DX_ENTSYS_PCT,PRMRY_DX_CIRCSYSTM_PCT,PRMRY_DX_RSPSYSTM_PCT,PRMRY_DX_DIGSYSTM_PCT,PRMRY_DX_SKNMUSSYSTM_PCT,PRMRY_DX_GUSYSTM_PCT,PRMRY_DX_PRGPERICONG_PCT,PRMRY_DX_SXILLDEF_PCT,PRMRY_DX_INJPOIS_PCT,PRMRY_DX_HLTHSRV_PCT
2020,FY,NATION,SNF,"NATIONAL TOTAL","NATIONAL TOTAL","NATIONAL TOTAL","NATIONAL TOTAL","NATIONAL TOTAL",1423340,1935189,52224660,35860224122,30995929155,25981061772,26418546015,42,8,79,41,59,79,11,2,5,1,1,1,2.83,3,15,49,48,13,55,60,4,2,14,18,41,68,14,20,51,41,50,50,81,95,52,24,8,32,5,3,3,2,9,0,17,12,2,9,7,0,2,16,15
2020,FY,STATE,SNF,"STATE TOTAL","STATE TOTAL","STATE TOTAL",AK,"STATE TOTAL",712,818,26831,38826207,18085834,15380285,12814725,41,16,76,43,57,78,4,4,3,9,*,*,2.58,*,21,36,36,9,45,49,5,4,4,21,40,65,16,17,44,35,47,44,71,92,45,26,7,32,3,3,3,*,5,*,19,5,2,13,2,*,*,29,15
2020,FY,STATE,SNF,"STATE TOTAL","STATE TOTAL","STATE TOTAL",AL,"STATE TOTAL",21062,27352,689114,376067355,319804514,259533439,340644183,40,15,78,37,63,80,18,0,1,0,0,0,2.62,2,14,52,48,9,47,57,4,2,14,20,40,73,13,18,51,43,52,51,81,96,52,22,7,33,3,3,3,4,8,0,19,12,2,6,7,0,1,16,17
2020,FY,STATE,SNF,"STATE TOTAL","STATE TOTAL","STATE TOTAL",AR,"STATE TOTAL",15946,21434,593611,396495396,297617323,241321080,300173562,48,22,79,38,62,87,11,0,1,1,0,0,2.6,3,13,54,49,24,58,62,6,2,14,21,42,68,11,17,47,43,49,52,76,95,55,23,8,34,4,2,3,2,10,*,18,13,2,7,7,0,1,15,16
2020,FY,STATE,SNF,"STATE TOTAL","STATE TOTAL","STATE TOTAL",AZ,"STATE TOTAL",20474,25909,549288,401419137,324689259,285079590,296901293,22,3,79,44,56,82,3,1,7,6,1,1,2.72,2,19,36,39,9,46,50,3,3,7,18,42,66,16,21,52,39,46,44,79,93,50,26,7,30,6,3,2,1,6,0,13,12,3,10,7,*,1,23,15
2020,FY,STATE,SNF,"STATE TOTAL","STATE TOTAL","STATE TOTAL",CA,"STATE TOTAL",121972,175296,5283269,4166756828,4038859342,3477158193,2673157599,55,1,78,44,56,63,9,10,17,0,1,1,2.98,6,20,48,43,14,53,58,4,2,22,18,38,64,16,17,51,42,53,49,79,94,50,25,9,31,6,3,3,2,11,0,16,13,2,9,7,0,2,15,15
2020,FY,STATE,SNF,"STATE TOTAL","STATE TOTAL","STATE TOTAL",CO,"STATE TOTAL",15552,19527,480169,369933507,285563562,245480767,250165857,29,9,79,41,59,85,4,1,8,1,1,1,2.54,2,19,41,39,10,50,55,4,4,6,18,37,68,14,19,47,39,38,42,70,89,41,28,7,26,4,3,2,1,8,0,14,10,2,10,6,0,1,22,18
2020,FY,STATE,SNF,"STATE TOTAL","STATE TOTAL","STATE TOTAL",CT,"STATE TOTAL",22448,30678,754894,563829790,496088979,429439193,390223538,52,0,80,41,59,85,7,1,5,0,1,1,2.73,3,14,50,54,14,53,63,7,3,14,14,42,62,15,21,45,37,43,48,80,93,48,23,7,28,6,4,3,2,9,0,16,13,3,8,6,0,2,14,20
2020,FY,STATE,SNF,"STATE TOTAL","STATE TOTAL","STATE TOTAL",DC,"STATE TOTAL",2548,3158,96318,82773786,59283194,49785816,48139536,60,*,78,45,55,27,68,1,2,*,*,1,3.14,1,16,51,30,11,52,57,3,3,15,20,32,61,14,20,48,31,57,46,79,96,48,16,7,46,4,4,4,2,5,*,19,12,2,8,8,*,3,13,19
2020,FY,STATE,SNF,"STATE TOTAL","STATE TOTAL","STATE TOTAL",DE,"STATE TOTAL",5490,7278,184075,132473357,109879300,93609140,92095043,35,1,80,40,60,80,17,1,2,*,1,*,2.78,1,15,48,50,12,58,66,2,2,12,15,44,67,12,20,48,36,49,48,87,95,58,21,7,36,4,3,3,1,7,*,19,12,3,10,8,*,2,18,15
